SS,SLR,Community,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,50,River Road,Beaufort County,NC,PV2,11681101,0.0797,1617695,0.0110,81083093,0.5535
000,50,Unincorporated Beaufort,Beaufort County,NC,PV1,136714852,0.0463,2949460,0.0010,1205837186,0.4083
000,50,Unincorporated Beaufort,Beaufort County,NC,PV3,51702000,0.0381,1405982,0.0010,436740049,0.3216
000,50,Unincorporated Beaufort,Beaufort County,NC,PV2,85122292,0.0531,1545254,0.0010,771030367,0.4809
000,50,Washington,Beaufort County,NC,PV1,8272952,0.0096,1975748,0.0023,165723192,0.1932
000,50,Washington,Beaufort County,NC,PV3,4123532,0.0067,1018666,0.0016,110372765,0.1788
000,50,Washington,Beaufort County,NC,PV2,4150608,0.0172,957693,0.0040,55358763,0.2297
000,50,Washington Park,Beaufort County,NC,PV1,2067294,0.0412,538768,0.0107,25092309,0.5004
000,50,Washington Park,Beaufort County,NC,PV3,701682,0.0226,126933,0.0041,14235306,0.4576
000,50,Washington Park,Beaufort County,NC,PV2,1365612,0.0717,411835,0.0216,10857003,0.5704
000,100,Aurora,Beaufort County,NC,PV1,1242188,0.0393,53012,0.0017,12042140,0.3809
000,100,Aurora,Beaufort County,NC,PV3,641243,0.0266,18722,0.0008,8961221,0.3715
000,100,Aurora,Beaufort County,NC,PV2,600945,0.0797,34291,0.0046,3087689,0.4098
000,100,Bath,Beaufort County,NC,PV1,7775028,0.1238,1005399,0.0160,18266079,0.2909
000,100,Bath,Beaufort County,NC,PV3,3180199,0.0960,406868,0.0123,7786013,0.2351
000,100,Bath,Beaufort County,NC,PV2,4594829,0.1549,598531,0.0202,10480066,0.3533
000,100,Bayview,Beaufort County,NC,PV1,22018861,0.3273,1753761,0.0261,42502293,0.6317
000,100,Bayview,Beaufort County,NC,PV3,8600530,0.2953,636677,0.0219,17769232,0.6101
000,100,Bayview,Beaufort County,NC,PV2,13418500,0.3509,1117084,0.0292,24737661,0.6470
000,100,Belhaven,Beaufort County,NC,PV1,59728861,0.5698,511327,0.0049,103587063,0.9883
000,100,Belhaven,Beaufort County,NC,PV3,33724574,0.5290,164951,0.0026,62798213,0.9851
000,100,Belhaven,Beaufort County,NC,PV2,26054587,0.6330,346383,0.0084,40878239,0.9932
000,100,Chocowinity,Beaufort County,NC,PV1,0,0.0000,0,0.0000,786825,0.0136
000,100,Chocowinity,Beaufort County,NC,PV3,0,0.0000,0,0.0000,613507,0.0151
000,100,Chocowinity,Beaufort County,NC,PV2,0,0.0000,0,0.0000,173318,0.0096
000,100,Cypress Landing,Beaufort County,NC,PV1,3724145,0.0163,237135,0.0010,10421933,0.0456
000,100,Cypress Landing,Beaufort County,NC,PV3,2573550,0.0152,164566,0.0010,7610355,0.0449
000,100,Cypress Landing,Beaufort County,NC,PV2,1150595,0.0195,72570,0.0012,2811578,0.0476
000,100,Pantego,Beaufort County,NC,PV1,1016820,0.1118,36610,0.0040,2980714,0.3277
000,100,Pantego,Beaufort County,NC,PV3,607339,0.0915,20652,0.0031,1946550,0.2933
000,100,Pantego,Beaufort County,NC,PV2,417037,0.1685,15958,0.0064,1046057,0.4227
000,100,Pinetown,Beaufort County,NC,PV1,0,0.0000,0,0.0000,416367,0.0713
000,100,Pinetown,Beaufort County,NC,PV3,0,0.0000,0,0.0000,164638,0.0549
000,100,Pinetown,Beaufort County,NC,PV2,0,0.0000,0,0.0000,251729,0.0885
000,100,River Road,Beaufort County,NC,PV1,71705050,0.2202,6885628,0.0211,182399978,0.5600
000,100,River Road,Beaufort County,NC,PV3,28887836,0.1607,2701840,0.0150,87090465,0.4846
000,100,River Road,Beaufort County,NC,PV2,42864345,0.2926,4183798,0.0286,95425458,0.6514
000,100,Unincorporated Beaufort,Beaufort County,NC,PV1,433329888,0.1467,14922352,0.0051,1380691029,0.4675
000,100,Unincorporated Beaufort,Beaufort County,NC,PV3,167624105,0.1234,6522530,0.0048,522184615,0.3846
000,100,Unincorporated Beaufort,Beaufort County,NC,PV2,266191040,0.1660,8405155,0.0052,860672157,0.5369
000,100,Washington,Beaufort County,NC,PV1,18680006,0.0218,2029010,0.0024,202987691,0.2366
000,100,Washington,Beaufort County,NC,PV3,9122383,0.0148,1038379,0.0017,135953903,0.2202
000,100,Washington,Beaufort County,NC,PV2,9559147,0.0397,991267,0.0041,67043416,0.2782
000,100,Washington Park,Beaufort County,NC,PV1,6063917,0.1209,694538,0.0139,32828964,0.6547
000,100,Washington Park,Beaufort County,NC,PV3,2579972,0.0829,178358,0.0057,19178471,0.6165
000,100,Washington Park,Beaufort County,NC,PV2,3483945,0.1830,516180,0.0271,13650493,0.7172
000,150,Aurora,Beaufort County,NC,PV1,2683411,0.0849,879059,0.0278,21482305,0.6796
000,150,Aurora,Beaufort County,NC,PV3,1711771,0.0710,490892,0.0204,16032515,0.6647
000,150,Aurora,Beaufort County,NC,PV2,972194,0.1290,388167,0.0515,5473819,0.7264
000,150,Bath,Beaufort County,NC,PV1,11680845,0.1861,4656416,0.0742,22166257,0.3531
