SS,SLR,Community,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,25,Unincorporated Beaufort,Beaufort County,NC,EM4,0,0.0000,0,0.0000,261,0.2047
000,25,Unincorporated Beaufort,Beaufort County,NC,EM5,0,0.0000,0,0.0000,129,0.2905
000,25,Unincorporated Beaufort,Beaufort County,NC,EM6,0,0.0000,0,0.0000,116,0.0772
000,25,Washington,Beaufort County,NC,EM1,0,0.0000,0,0.0000,845,0.0745
000,25,Washington,Beaufort County,NC,EM2,0,0.0000,0,0.0000,397,0.0882
000,25,Washington,Beaufort County,NC,EM3,0,0.0000,0,0.0000,39,0.0186
000,25,Washington,Beaufort County,NC,EM4,0,0.0000,0,0.0000,267,0.0934
000,25,Washington,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,25,Washington,Beaufort County,NC,EM6,0,0.0000,0,0.0000,142,0.0757
000,25,Washington Park,Beaufort County,NC,EM1,0,0.0000,0,0.0000,5,0.1562
000,25,Washington Park,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,25,Washington Park,Beaufort County,NC,EM3,0,0.0000,0,0.0000,4,0.2105
000,25,Washington Park,Beaufort County,NC,EM4,0,0.0000,0,0.0000,1,0.1429
000,25,Washington Park,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,25,Washington Park,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,50,Aurora,Beaufort County,NC,EM1,0,0.0000,0,0.0000,9,0.0769
000,50,Aurora,Beaufort County,NC,EM2,0,0.0000,0,0.0000,6,0.1034
000,50,Aurora,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
000,50,Aurora,Beaufort County,NC,EM4,0,0.0000,0,0.0000,3,0.1364
000,50,Aurora,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,50,Aurora,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,50,Bath,Beaufort County,NC,EM1,0,0.0000,0,0.0000,5,0.0327
000,50,Bath,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,50,Bath,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
000,50,Bath,Beaufort County,NC,EM4,0,0.0000,0,0.0000,5,0.0847
000,50,Bath,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
